Age,Equal_Width,Equal_Frequency
78.7515,Bin_4,Bin_4
83.8001,Bin_4,Bin_4
68.1807,Bin_3,Bin_2
70.8802,Bin_3,Bin_3
80.4819,Bin_4,Bin_4
73.8864,Bin_3,Bin_3
81.5288,Bin_4,Bin_4
71.666,Bin_3,Bin_3
56.1342,Bin_2,Bin_1
71.0554,Bin_3,Bin_3
64.3313,Bin_3,Bin_2
71.2553,Bin_3,Bin_3
65.3635,Bin_3,Bin_2
66.7707,Bin_3,Bin_2
71.7235,Bin_3,Bin_3
79.1129,Bin_4,Bin_4
73.9001,Bin_3,Bin_3
82.9925,Bin_4,Bin_4
74.82,Bin_3,Bin_3
76.9692,Bin_3,Bin_4
54.6475,Bin_2,Bin_1
78.601,Bin_4,Bin_4
53.7221,Bin_2,Bin_1
75.7782,Bin_3,Bin_3
68.1314,Bin_3,Bin_2
70.3518,Bin_3,Bin_3
70.1684,Bin_3,Bin_3
78.6776,Bin_4,Bin_4
68.9966,Bin_3,Bin_3
62.4476,Bin_2,Bin_2
71.7153,Bin_3,Bin_3
75.6934,Bin_3,Bin_3
70.601,Bin_3,Bin_3
55.4305,Bin_2,Bin_1
82.4066,Bin_4,Bin_4
54.0068,Bin_2,Bin_1
74.7543,Bin_3,Bin_3
52.2491,Bin_2,Bin_1
71.4168,Bin_3,Bin_3
58.6274,Bin_2,Bin_1
74.6092,Bin_3,Bin_3
72.0684,Bin_3,Bin_3
74.0561,Bin_3,Bin_3
50.1958,Bin_2,Bin_1
72.6982,Bin_3,Bin_3
80.2245,Bin_4,Bin_4
46.5024,Bin_1,Bin_1
64.8378,Bin_3,Bin_2
80.7228,Bin_4,Bin_4
53.5743,Bin_2,Bin_1
51.6906,Bin_2,Bin_1
62.2313,Bin_2,Bin_2
78.7105,Bin_4,Bin_4
79.2197,Bin_4,Bin_4
59.2334,Bin_2,Bin_1
,,
74.9076,Bin_3,Bin_3
82.2779,Bin_4,Bin_4
49.2594,Bin_2,Bin_1
83.5154,Bin_4,Bin_4
62.1218,Bin_2,Bin_2
52.7118,Bin_2,Bin_1
72.3477,Bin_3,Bin_3
78.7789,Bin_4,Bin_4
76.3395,Bin_3,Bin_4
64.1615,Bin_3,Bin_2
75.9671,Bin_3,Bin_4
79.2827,Bin_4,Bin_4
56.8214,Bin_2,Bin_1
79.6632,Bin_4,Bin_4
64.846,Bin_3,Bin_2
71.4743,Bin_3,Bin_3
60.6872,Bin_2,Bin_1
55.6934,Bin_2,Bin_1
54.7242,Bin_2,Bin_1
70.2177,Bin_3,Bin_3
76.794,Bin_3,Bin_4
87.1266,Bin_4,Bin_4
